#chrom	start	end	name	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group
chr6	16265794	16265798	._r159	0.0	+	16265794	16265798	0	1	4	16265793	genes
chr7	22707509	22707593	._r223	0.0	-	22707509	22707593	0	1	84	22707507	genes
chr2	172099191	172099196	._r89	0.0	-	172099191	172099196	0	1	5	172099190	genes
chr10	50556943	50556944	._r265	0.0	+	50556943	50556944	0	1	1	50556938	genes
chr16	9078084	9078085	._r357	0.0	+	9078084	9078085	0	1	1	9078075	genes
chr7	22707396	22707465	._r222	0.0	-	22707396	22707465	0	1	69	22707394	genes
chr10	5487632	5487676	._r274	0.0	-	5487632	5487676	0	1	44	5487627	genes
chr7	121041988	121041991	._r214	0.0	+	121041988	121041991	0	1	3	121041987	genes
chr5	133239987	133239989	._r142	0.0	+	133239987	133239989	0	1	2	133239986	genes
chr9	123265969	123265970	._r259	0.0	-	123265969	123265970	0	1	1	123265968	genes
chr6	146887205	146887210	._r205	0.0	-	146887205	146887210	0	1	5	146887204	genes
chr7	22707055	22707155	._r221	0.0	-	22707055	22707155	0	1	100	22707053	genes
chr6	16267764	16267765	._r189	0.0	-	16267764	16267765	0	1	1	16267763	genes
chr15	55237639	55237640	._r353	0.0	-	55237639	55237640	0	1	1	55237634	genes
chr19	42230561	42230590	._r442	0.0	-	42230561	42230590	0	1	29	42230557	genes
chr4	51664	51711	._r125	0.0	-	51664	51711	0	1	47	51659	genes
chr1	207519732	207519748	._r60	0.0	-	207519732	207519748	0	1	16	207519730	genes
chr2	15554461	15554462	._r76	0.0	-	15554461	15554462	0	1	1	15554460	genes
chr15	55237356	55237414	._r352	0.0	-	55237356	55237414	0	1	58	55237351	genes
chr11	64885836	64885837	._r286	0.0	+	64885836	64885837	0	1	1	64885830	genes
chr6	30872824	30872827	._r199	0.0	-	30872824	30872827	0	1	3	30872821	genes
chr22	22548302	22548303	._r484	0.0	-	22548302	22548303	0	1	1	22548300	genes
chr1	155980153	155980154	._r48	0.0	-	155980153	155980154	0	1	1	155980152	genes
chr2	101232078	101232082	._r83	0.0	-	101232078	101232082	0	1	4	101232077	genes
chr10	61764639	61764689	._r277	0.0	-	61764639	61764689	0	1	50	61764633	genes
chr2	239295025	239295027	._r74	0.0	+	239295025	239295027	0	1	2	239295023	genes
chr1	161450673	161450674	._r13	0.0	+	161450673	161450674	0	1	1	161450672	genes
chr2	191836564	191836610	._r90	0.0	-	191836564	191836610	0	1	46	191836563	genes
chr6	31816958	31816960	._r164	0.0	+	31816958	31816960	0	1	2	31816955	genes
chr1	155834628	155834640	._r47	0.0	-	155834628	155834640	0	1	12	155834627	genes
chr5	86570460	86570489	._r155	0.0	-	86570460	86570489	0	1	29	86570452	genes
chr6	31817153	31817163	._r165	0.0	+	31817153	31817163	0	1	10	31817150	genes
chr1	151906967	151906971	._r12	0.0	+	151906967	151906971	0	1	4	151906966	genes
chr19	42230735	42230737	._r443	0.0	-	42230735	42230737	0	1	2	42230731	genes
chr6	30815525	30815529	._r197	0.0	-	30815525	30815529	0	1	4	30815522	genes
chr11	75098988	75098992	._r289	0.0	+	75098988	75098992	0	1	4	75098981	genes
chr3	9646560	9646562	._r96	0.0	+	9646560	9646562	0	1	2	9646551	genes
chrX	136884913	136884914	._r511	0.0	-	136884913	136884914	0	1	1	136884912	genes
chr1	161639967	161639971	._r16	0.0	+	161639967	161639971	0	1	4	161639966	genes
chr1	161454673	161454717	._r51	0.0	-	161454673	161454717	0	1	44	161454672	genes
chr2	170365730	170365765	._r87	0.0	-	170365730	170365765	0	1	35	170365729	genes
chr2	170365812	170365840	._r88	0.0	-	170365812	170365840	0	1	28	170365811	genes
chr9	136839743	136839744	._r253	0.0	+	136839743	136839744	0	1	1	136839742	genes
chr4	49321212	49321213	._r122	0.0	+	49321212	49321213	0	1	1	49321208	genes
chr2	157258748	157258784	._r73	0.0	+	157258748	157258784	0	1	36	157258747	genes
chr1	161612711	161612713	._r15	0.0	+	161612711	161612713	0	1	2	161612710	genes
chr6	29965021	29965099	._r162	0.0	+	29965021	29965099	0	1	78	29965019	genes
chr1	161455041	161455042	._r52	0.0	-	161455041	161455042	0	1	1	161455040	genes
chr21	8815543	8815572	._r468	0.0	+	8815543	8815572	0	1	29	8815535	genes
chr19	51549775	51549819	._r429	0.0	+	51549775	51549819	0	1	44	51549770	genes
chr14	76258254	76258290	._r339	0.0	+	76258254	76258290	0	1	36	76258247	genes
chr22	26632711	26632712	._r487	0.0	-	26632711	26632712	0	1	1	26632709	genes
chr17	41678767	41678775	._r395	0.0	-	41678767	41678775	0	1	8	41678763	genes
chr16	84730594	84730614	._r374	0.0	-	84730594	84730614	0	1	20	84730586	genes
chr12	23507986	23508075	._r311	0.0	+	23507986	23508075	0	1	89	23507984	genes
chr1	8874862	8874889	._r25	0.0	-	8874862	8874889	0	1	27	8874854	genes
chr1	198633745	198633746	._r59	0.0	-	198633745	198633746	0	1	1	198633744	genes
chr1	155983385	155983413	._r49	0.0	-	155983385	155983413	0	1	28	155983384	genes
chr7	22705657	22705677	._r219	0.0	-	22705657	22705677	0	1	20	22705655	genes
chr9	68778668	68778678	._r258	0.0	-	68778668	68778678	0	1	10	68778662	genes
chr22	22550225	22550260	._r485	0.0	-	22550225	22550260	0	1	35	22550223	genes
chr16	79845880	79845881	._r372	0.0	-	79845880	79845881	0	1	1	79845873	genes
chr7	22705716	22705755	._r220	0.0	-	22705716	22705755	0	1	39	22705714	genes
chr12	127157688	127157689	._r329	0.0	-	127157688	127157689	0	1	1	127157687	genes
chr7	145784963	145785001	._r217	0.0	+	145784963	145785001	0	1	38	145784962	genes
chr7	149691257	149691259	._r233	0.0	-	149691257	149691259	0	1	2	149691256	genes
chr6	26304882	26304883	._r190	0.0	-	26304882	26304883	0	1	1	26304880	genes
chr3	170699709	170699710	._r108	0.0	+	170699709	170699710	0	1	1	170699708	genes
chr13	108001164	108001165	._r334	0.0	+	108001164	108001165	0	1	1	108001163	genes
chr17	29711026	29711039	._r392	0.0	-	29711026	29711039	0	1	13	29711024	genes
chr9	136839353	136839354	._r252	0.0	+	136839353	136839354	0	1	1	136839352	genes
chr1	17441479	17441541	._r28	0.0	-	17441479	17441541	0	1	62	17441478	genes
chr7	22704958	22705017	._r218	0.0	-	22704958	22705017	0	1	59	22704956	genes
chr2	62312864	62312865	._r66	0.0	+	62312864	62312865	0	1	1	62312858	genes
chr6	4984693	4984694	._r187	0.0	-	4984693	4984694	0	1	1	4984689	genes
chr4	49300318	49300319	._r129	0.0	-	49300318	49300319	0	1	1	49300314	genes
chr17	35560818	35560819	._r393	0.0	-	35560818	35560819	0	1	1	35560815	genes
chr11	86109454	86109545	._r291	0.0	+	86109454	86109545	0	1	91	86109446	genes
chr12	23509524	23509550	._r312	0.0	+	23509524	23509550	0	1	26	23509522	genes
chr19	44903274	44903282	._r418	0.0	+	44903274	44903282	0	1	8	44903270	genes
chr6	37423934	37423997	._r171	0.0	+	37423934	37423997	0	1	63	37423931	genes
chr11	62560099	62560100	._r304	0.0	-	62560099	62560100	0	1	1	62560093	genes
chr2	95551523	95551524	._r82	0.0	-	95551523	95551524	0	1	1	95551514	genes
chr19	17403157	17403176	._r439	0.0	-	17403157	17403176	0	1	19	17403156	genes
chrX	49190848	49190917	._r499	0.0	-	49190848	49190917	0	1	69	49190844	genes
chr1	16735471	16735472	._r27	0.0	-	16735471	16735472	0	1	1	16735470	genes
chr11	59537462	59537463	._r284	0.0	+	59537462	59537463	0	1	1	59537457	genes
chr8	23070327	23070331	._r240	0.0	-	23070327	23070331	0	1	4	23070325	genes
chr1	47216616	47216618	._r35	0.0	-	47216616	47216618	0	1	2	47216612	genes
chr3	101637599	101637658	._r117	0.0	-	101637599	101637658	0	1	59	101637598	genes
chr22	11818198	11818199	._r477	0.0	+	11818198	11818199	0	1	1	11818197	genes
chr12	124939723	124939726	._r328	0.0	-	124939723	124939726	0	1	3	124939722	genes
chr12	23555922	23555938	._r322	0.0	-	23555922	23555938	0	1	16	23555920	genes
chr10	15442250	15442287	._r275	0.0	-	15442250	15442287	0	1	37	15442249	genes
chr3	101638373	101638377	._r103	0.0	+	101638373	101638377	0	1	4	101638372	genes
chr1	120277527	120277649	._r10	0.0	+	120277527	120277649	0	1	122	120277526	genes
chr6	157978468	157978469	._r206	0.0	-	157978468	157978469	0	1	1	157978467	genes
chr18	55733065	55733071	._r405	0.0	+	55733065	55733071	0	1	6	55733060	genes
chr11	86008808	86008810	._r290	0.0	+	86008808	86008810	0	1	2	86008800	genes
chr10	22390418	22390475	._r263	0.0	+	22390418	22390475	0	1	57	22390416	genes
chr12	121467283	121467317	._r327	0.0	-	121467283	121467317	0	1	34	121467282	genes
chr19	48399096	48399097	._r426	0.0	+	48399096	48399097	0	1	1	48399092	genes
chr4	78715755	78715797	._r123	0.0	+	78715755	78715797	0	1	42	78715748	genes
chr22	11974122	11974227	._r483	0.0	-	11974122	11974227	0	1	105	11974121	genes
chr3	14403718	14403734	._r111	0.0	-	14403718	14403734	0	1	16	14403717	genes
chr4	49315056	49315057	._r121	0.0	+	49315056	49315057	0	1	1	49315052	genes
chr16	15574172	15574174	._r364	0.0	-	15574172	15574174	0	1	2	15574171	genes
chr4	78716041	78716108	._r124	0.0	+	78716041	78716108	0	1	67	78716034	genes
chrX	49148711	49148714	._r498	0.0	-	49148711	49148714	0	1	3	49148707	genes
chr6	27592896	27592898	._r193	0.0	-	27592896	27592898	0	1	2	27592894	genes
chr8	143454709	143454710	._r244	0.0	-	143454709	143454710	0	1	1	143454708	genes
chr4	126956767	126956770	._r132	0.0	-	126956767	126956770	0	1	3	126956766	genes
chr6	137954388	137954406	._r204	0.0	-	137954388	137954406	0	1	18	137954387	genes
chrX	23953263	23953278	._r496	0.0	-	23953263	23953278	0	1	15	23953261	genes
chr19	28544688	28544710	._r440	0.0	-	28544688	28544710	0	1	22	28544686	genes
chr19	50133861	50133862	._r445	0.0	-	50133861	50133862	0	1	1	50133856	genes
chr11	94640101	94640107	._r292	0.0	+	94640101	94640107	0	1	6	94640092	genes
chr19	47918430	47918431	._r421	0.0	+	47918430	47918431	0	1	1	47918426	genes
chr6	44250290	44250304	._r178	0.0	+	44250290	44250304	0	1	14	44250286	genes
chr1	120620785	120620846	._r41	0.0	-	120620785	120620846	0	1	61	120620784	genes
chr6	44251762	44251823	._r179	0.0	+	44251762	44251823	0	1	61	44251758	genes
chr21	8807126	8807127	._r474	0.0	-	8807126	8807127	0	1	1	8807118	genes
chr6	44250019	44250146	._r177	0.0	+	44250019	44250146	0	1	127	44250015	genes
chr6	44251997	44252079	._r180	0.0	+	44251997	44252079	0	1	82	44251993	genes
chr13	67156120	67156135	._r331	0.0	+	67156120	67156135	0	1	15	67156114	genes
chr2	27752846	27752892	._r65	0.0	+	27752846	27752892	0	1	46	27752844	genes
chr6	44252123	44252159	._r181	0.0	+	44252123	44252159	0	1	36	44252119	genes
chr19	47944923	47944924	._r423	0.0	+	47944923	47944924	0	1	1	47944919	genes
chr12	23505989	23505990	._r310	0.0	+	23505989	23505990	0	1	1	23505987	genes
chr19	50137326	50137327	._r446	0.0	-	50137326	50137327	0	1	1	50137321	genes
chr6	44249677	44249828	._r176	0.0	+	44249677	44249828	0	1	151	44249673	genes
chr19	47934182	47934183	._r422	0.0	+	47934182	47934183	0	1	1	47934178	genes
chr10	14185466	14185471	._r262	0.0	+	14185466	14185471	0	1	5	14185465	genes
chr19	47907679	47907680	._r420	0.0	+	47907679	47907680	0	1	1	47907675	genes
chr22	11698683	11698684	._r482	0.0	-	11698683	11698684	0	1	1	11698682	genes
chr10	33050137	33050176	._r264	0.0	+	33050137	33050176	0	1	39	33050134	genes
chr16	17013747	17013761	._r358	0.0	+	17013747	17013761	0	1	14	17013746	genes
chr16	4307586	4307597	._r363	0.0	-	4307586	4307597	0	1	11	4307582	genes
chr3	110505091	110505093	._r104	0.0	+	110505091	110505093	0	1	2	110505090	genes
chr6	44249411	44249576	._r175	0.0	+	44249411	44249576	0	1	165	44249407	genes
chr11	5129605	5129606	._r282	0.0	+	5129605	5129606	0	1	1	5129600	genes
chr7	102473638	102473685	._r228	0.0	-	102473638	102473685	0	1	47	102473637	genes
chr6	28726014	28726015	._r161	0.0	+	28726014	28726015	0	1	1	28726012	genes
chr6	28710048	28710118	._r195	0.0	-	28710048	28710118	0	1	70	28710046	genes
chr11	62571068	62571070	._r305	0.0	-	62571068	62571070	0	1	2	62571062	genes
chr1	194859786	194859839	._r17	0.0	+	194859786	194859839	0	1	53	194859785	genes
chr3	165918034	165918035	._r118	0.0	-	165918034	165918035	0	1	1	165918033	genes
chr6	37175083	37175133	._r169	0.0	+	37175083	37175133	0	1	50	37175080	genes
chr3	23919216	23919217	._r99	0.0	+	23919216	23919217	0	1	1	23919214	genes
chr8	99891954	99892046	._r243	0.0	-	99891954	99892046	0	1	92	99891945	genes
chr1	296311	296315	._r20	0.0	-	296311	296315	0	1	4	296309	genes
chr6	37175174	37175176	._r170	0.0	+	37175174	37175176	0	1	2	37175171	genes
chr4	49161267	49161323	._r120	0.0	+	49161267	49161323	0	1	56	49161263	genes
chr16	84729096	84729097	._r373	0.0	-	84729096	84729097	0	1	1	84729088	genes
chr1	28346333	28346334	._r31	0.0	-	28346333	28346334	0	1	1	28346331	genes
chrX	107153121	107153161	._r506	0.0	-	107153121	107153161	0	1	40	107153120	genes
chr6	112688921	112688925	._r202	0.0	-	112688921	112688925	0	1	4	112688920	genes
chr15	84443445	84443520	._r351	0.0	+	84443445	84443520	0	1	75	84443437	genes
chr11	68235455	68235456	._r288	0.0	+	68235455	68235456	0	1	1	68235449	genes
chr1	47336058	47336059	._r36	0.0	-	47336058	47336059	0	1	1	47336054	genes
chr19	38376368	38376370	._r416	0.0	+	38376368	38376370	0	1	2	38376365	genes
chr7	107009334	107009348	._r230	0.0	-	107009334	107009348	0	1	14	107009333	genes
chr21	8218754	8218767	._r456	0.0	+	8218754	8218767	0	1	13	8218746	genes
chr19	32693526	32693531	._r441	0.0	-	32693526	32693531	0	1	5	32693523	genes
chr6	30818598	30818615	._r198	0.0	-	30818598	30818615	0	1	17	30818595	genes
chr1	196933697	196933713	._r58	0.0	-	196933697	196933713	0	1	16	196933696	genes
chr21	6260942	6260944	._r473	0.0	-	6260942	6260944	0	1	2	6260936	genes
chr2	242131841	242131845	._r75	0.0	+	242131841	242131845	0	1	4	242131839	genes
chr17	43315910	43315916	._r383	0.0	+	43315910	43315916	0	1	6	43315906	genes
chr10	67764499	67764500	._r266	0.0	+	67764499	67764500	0	1	1	67764493	genes
chr19	35157470	35157471	._r415	0.0	+	35157470	35157471	0	1	1	35157467	genes
chr6	164338086	164338121	._r207	0.0	-	164338086	164338121	0	1	35	164338085	genes
chr17	8384403	8384404	._r388	0.0	-	8384403	8384404	0	1	1	8384395	genes
chr6	28758176	28758180	._r196	0.0	-	28758176	28758180	0	1	4	28758174	genes
chr1	156848396	156848397	._r50	0.0	-	156848396	156848397	0	1	1	156848395	genes
chr7	131298719	131298720	._r216	0.0	+	131298719	131298720	0	1	1	131298718	genes
chr1	8863316	8863317	._r24	0.0	-	8863316	8863317	0	1	1	8863308	genes
chr9	73030333	73030356	._r245	0.0	+	73030333	73030356	0	1	23	73030326	genes
chr22	24206613	24206615	._r486	0.0	-	24206613	24206615	0	1	2	24206611	genes
chr6	27672533	27672534	._r194	0.0	-	27672533	27672534	0	1	1	27672531	genes
chr11	62571556	62571580	._r306	0.0	-	62571556	62571580	0	1	24	62571550	genes
chr17	68019971	68019974	._r401	0.0	-	68019971	68019974	0	1	3	68019965	genes
chr7	101349485	101349487	._r213	0.0	+	101349485	101349487	0	1	2	101349484	genes
chr6	31732221	31732225	._r200	0.0	-	31732221	31732225	0	1	4	31732218	genes
chr4	10461319	10461356	._r128	0.0	-	10461319	10461356	0	1	37	10461318	genes
chr19	47946853	47946862	._r424	0.0	+	47946853	47946862	0	1	9	47946849	genes
chr18	662219	662220	._r402	0.0	+	662219	662220	0	1	1	662213	genes
chr1	194859078	194859089	._r57	0.0	-	194859078	194859089	0	1	11	194859077	genes
chr18	662271	662294	._r403	0.0	+	662271	662294	0	1	23	662265	genes
chr2	26962159	26962160	._r64	0.0	+	26962159	26962160	0	1	1	26962157	genes
chrX	135893381	135893435	._r510	0.0	-	135893381	135893435	0	1	54	135893380	genes
chr10	67765094	67765099	._r267	0.0	+	67765094	67765099	0	1	5	67765088	genes
chr6	21163668	21163673	._r160	0.0	+	21163668	21163673	0	1	5	21163666	genes
chr6	123368125	123368179	._r203	0.0	-	123368125	123368179	0	1	54	123368124	genes
chr18	30175965	30176028	._r408	0.0	-	30175965	30176028	0	1	63	30175962	genes
chr4	8490761	8490762	._r126	0.0	-	8490761	8490762	0	1	1	8490753	genes
chr1	18414997	18415004	._r29	0.0	-	18414997	18415004	0	1	7	18414996	genes
chr21	8216483	8216484	._r455	0.0	+	8216483	8216484	0	1	1	8216475	genes
chr2	142935806	142935829	._r72	0.0	+	142935806	142935829	0	1	23	142935805	genes
chr5	160010521	160010536	._r150	0.0	+	160010521	160010536	0	1	15	160010520	genes
chr21	8216421	8216431	._r454	0.0	+	8216421	8216431	0	1	10	8216413	genes
chr1	143800118	143800119	._r42	0.0	-	143800118	143800119	0	1	1	143800117	genes
chr16	70333087	70333089	._r360	0.0	+	70333087	70333089	0	1	2	70333080	genes
chr1	37519041	37519042	._r2	0.0	+	37519041	37519042	0	1	1	37519038	genes
chr17	39202345	39202432	._r379	0.0	+	39202345	39202432	0	1	87	39202342	genes
chr6	27237647	27237648	._r192	0.0	-	27237647	27237648	0	1	1	27237645	genes
chr6	43998864	43998873	._r174	0.0	+	43998864	43998873	0	1	9	43998860	genes
chr16	22195795	22195796	._r367	0.0	-	22195795	22195796	0	1	1	22195793	genes
chr1	144547718	144547720	._r43	0.0	-	144547718	144547720	0	1	2	144547717	genes
chr6	43910945	43910949	._r172	0.0	+	43910945	43910949	0	1	4	43910941	genes
chr14	20613471	20613472	._r343	0.0	-	20613471	20613472	0	1	1	20613469	genes
chr6	147206008	147206024	._r185	0.0	+	147206008	147206024	0	1	16	147206007	genes
chr1	161531106	161531107	._r14	0.0	+	161531106	161531107	0	1	1	161531105	genes
chr3	85504408	85504475	._r114	0.0	-	85504408	85504475	0	1	67	85504400	genes
chr14	106401509	106401533	._r341	0.0	+	106401509	106401533	0	1	24	106401508	genes
chr14	106401430	106401467	._r347	0.0	-	106401430	106401467	0	1	37	106401429	genes
chr17	39202992	39203037	._r380	0.0	+	39202992	39203037	0	1	45	39202989	genes
chr4	172156107	172156108	._r133	0.0	-	172156107	172156108	0	1	1	172156106	genes
chr8	274165	274166	._r239	0.0	-	274165	274166	0	1	1	274163	genes
chr21	17454861	17454862	._r475	0.0	-	17454861	17454862	0	1	1	17454860	genes
chr10	72326784	72326785	._r270	0.0	+	72326784	72326785	0	1	1	72326777	genes
chr21	8216126	8216202	._r453	0.0	+	8216126	8216202	0	1	76	8216118	genes
chr2	201407469	201407536	._r91	0.0	-	201407469	201407536	0	1	67	201407467	genes
chr10	72301599	72301603	._r269	0.0	+	72301599	72301603	0	1	4	72301592	genes
chrX	48787943	48787959	._r497	0.0	-	48787943	48787959	0	1	16	48787939	genes
chr14	99321216	99321218	._r340	0.0	+	99321216	99321218	0	1	2	99321207	genes
chr2	85979227	85979228	._r81	0.0	-	85979227	85979228	0	1	1	85979219	genes
chr7	16262001	16262065	._r208	0.0	+	16262001	16262065	0	1	64	16262000	genes
chr22	46456376	46456378	._r481	0.0	+	46456376	46456378	0	1	2	46456372	genes
chr3	195446243	195446249	._r119	0.0	-	195446243	195446249	0	1	6	195446242	genes
chr3	101634520	101634567	._r115	0.0	-	101634520	101634567	0	1	47	101634519	genes
chr2	142931125	142931129	._r84	0.0	-	142931125	142931129	0	1	4	142931124	genes
chr3	163499864	163499868	._r107	0.0	+	163499864	163499868	0	1	4	163499863	genes
chr11	67619986	67619990	._r287	0.0	+	67619986	67619990	0	1	4	67619980	genes
chr7	106813872	106813883	._r229	0.0	-	106813872	106813883	0	1	11	106813871	genes
chr3	101634698	101634758	._r116	0.0	-	101634698	101634758	0	1	60	101634697	genes
chr4	177227161	177227165	._r135	0.0	-	177227161	177227165	0	1	4	177227160	genes
chr11	1351709	1351715	._r281	0.0	+	1351709	1351715	0	1	6	1351708	genes
chr1	204506520	204506521	._r18	0.0	+	204506520	204506521	0	1	1	204506518	genes
chr21	22190700	22190717	._r476	0.0	-	22190700	22190717	0	1	17	22190698	genes
chr19	47950297	47950298	._r425	0.0	+	47950297	47950298	0	1	1	47950293	genes
chr6	140148487	140148518	._r184	0.0	+	140148487	140148518	0	1	31	140148486	genes
chr21	8213868	8213915	._r451	0.0	+	8213868	8213915	0	1	47	8213860	genes
chr3	40461462	40461480	._r101	0.0	+	40461462	40461480	0	1	18	40461458	genes
chr1	6192952	6192985	._r23	0.0	-	6192952	6192985	0	1	33	6192946	genes
chr7	119950821	119950863	._r231	0.0	-	119950821	119950863	0	1	42	119950820	genes
chr3	40461404	40461408	._r100	0.0	+	40461404	40461408	0	1	4	40461400	genes
chrX	13291301	13291330	._r490	0.0	+	13291301	13291330	0	1	29	13291300	genes
chr21	8215079	8215092	._r452	0.0	+	8215079	8215092	0	1	13	8215071	genes
chr2	68438896	68438897	._r67	0.0	+	68438896	68438897	0	1	1	68438890	genes
chr2	151704886	151704889	._r85	0.0	-	151704886	151704889	0	1	3	151704885	genes
chr4	76050202	76050206	._r131	0.0	-	76050202	76050206	0	1	4	76050195	genes
chrX	53234536	53234537	._r502	0.0	-	53234536	53234537	0	1	1	53234531	genes
chr12	120198872	120198904	._r324	0.0	-	120198872	120198904	0	1	32	120198871	genes
chr5	106246959	106247004	._r141	0.0	+	106246959	106247004	0	1	45	106246958	genes
chr5	56036280	56036281	._r138	0.0	+	56036280	56036281	0	1	1	56036275	genes
chr5	181207750	181207751	._r152	0.0	+	181207750	181207751	0	1	1	181207749	genes
chr17	21612891	21612897	._r377	0.0	+	21612891	21612897	0	1	6	21612889	genes
chr1	194358026	194358028	._r56	0.0	-	194358026	194358028	0	1	2	194358025	genes
chr13	81340306	81340311	._r336	0.0	-	81340306	81340311	0	1	5	81340298	genes
chr6	27230639	27230643	._r191	0.0	-	27230639	27230643	0	1	4	27230637	genes
chr21	8401821	8401861	._r463	0.0	+	8401821	8401861	0	1	40	8401813	genes
chrX	53234650	53234678	._r503	0.0	-	53234650	53234678	0	1	28	53234645	genes
chr21	8399063	8399083	._r462	0.0	+	8399063	8399083	0	1	20	8399055	genes
chr21	8401901	8401908	._r464	0.0	+	8401901	8401908	0	1	7	8401893	genes
chr7	74347566	74347567	._r227	0.0	-	74347566	74347567	0	1	1	74347559	genes
chr1	152032768	152032819	._r45	0.0	-	152032768	152032819	0	1	51	152032767	genes
chr6	3939266	3939267	._r186	0.0	-	3939266	3939267	0	1	1	3939263	genes
chr5	19288568	19288575	._r137	0.0	+	19288568	19288575	0	1	7	19288567	genes
chr16	19493759	19493760	._r366	0.0	-	19493759	19493760	0	1	1	19493758	genes
chr12	120199159	120199192	._r325	0.0	-	120199159	120199192	0	1	33	120199158	genes
chr1	39611084	39611085	._r34	0.0	-	39611084	39611085	0	1	1	39611081	genes
chr12	94676573	94676575	._r315	0.0	+	94676573	94676575	0	1	2	94676564	genes
chr9	11065013	11065034	._r254	0.0	-	11065013	11065034	0	1	21	11065012	genes
chr1	6186762	6186814	._r22	0.0	-	6186762	6186814	0	1	52	6186756	genes
chr19	14093054	14093056	._r438	0.0	-	14093054	14093056	0	1	2	14093053	genes
chr1	175101490	175101494	._r54	0.0	-	175101490	175101494	0	1	4	175101489	genes
chrX	50162517	50162521	._r500	0.0	-	50162517	50162521	0	1	4	50162512	genes
chr21	21147156	21147162	._r470	0.0	+	21147156	21147162	0	1	6	21147154	genes
chr21	8437268	8437380	._r467	0.0	+	8437268	8437380	0	1	112	8437260	genes
chr14	22930732	22930737	._r338	0.0	+	22930732	22930737	0	1	5	22930730	genes
chr9	34481914	34481918	._r257	0.0	-	34481914	34481918	0	1	4	34481911	genes
chr1	32775996	32775998	._r33	0.0	-	32775996	32775998	0	1	2	32775993	genes
