"seqnames"	"start"	"end"	"width"	"strand"	"rep1_overlap"	"rep2_overlap"	"rep3_overlap"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENTREZID"	"SYMBOL"	"GENENAME"
"1"	42696238	42696250	13	"+"	FALSE	TRUE	TRUE	"Exon (ENST00000321358/ENSG00000065978, exon 4 of 8)"	1	42683156	42697211	14056	1	"ENSG00000065978"	"ENST00000467957"	13082	"4904"	"YBX1"	"Y-box binding protein 1"
"1"	42696742	42696743	2	"+"	TRUE	TRUE	TRUE	"Exon (ENST00000321358/ENSG00000065978, exon 5 of 8)"	1	42683156	42697211	14056	1	"ENSG00000065978"	"ENST00000467957"	13586	"4904"	"YBX1"	"Y-box binding protein 1"
"1"	42696803	42696830	28	"+"	FALSE	TRUE	TRUE	"Exon (ENST00000321358/ENSG00000065978, exon 5 of 8)"	1	42683156	42697211	14056	1	"ENSG00000065978"	"ENST00000467957"	13647	"4904"	"YBX1"	"Y-box binding protein 1"
"1"	42696894	42696929	36	"+"	TRUE	TRUE	TRUE	"Exon (ENST00000321358/ENSG00000065978, exon 5 of 8)"	1	42683156	42697211	14056	1	"ENSG00000065978"	"ENST00000467957"	13738	"4904"	"YBX1"	"Y-box binding protein 1"
"1"	42700781	42700782	2	"+"	TRUE	TRUE	TRUE	"Exon (ENST00000321358/ENSG00000065978, exon 7 of 8)"	1	42683156	42697211	14056	1	"ENSG00000065978"	"ENST00000467957"	17625	"4904"	"YBX1"	"Y-box binding protein 1"
"1"	46037507	46037508	2	"+"	TRUE	FALSE	TRUE	"Downstream (2-3kb)"	1	46033868	46034420	553	1	"ENSG00000086015"	"ENST00000492813"	3639	"23139"	"MAST2"	"microtubule associated serine/threonine kinase 2"
"1"	52897765	52897765	1	"+"	TRUE	TRUE	TRUE	"Exon (ENST00000539680/ENSG00000121310, exon 1 of 1)"	1	52896225	52902041	5817	2	"ENSG00000121310"	"ENST00000539680"	4276	"55268"	"ECHDC2"	"enoyl-CoA hydratase domain containing 2"
"1"	90027567	90027567	1	"+"	TRUE	TRUE	FALSE	"3' UTR"	1	90045998	90047109	1112	1	"ENSG00000287015"	"ENST00000667592"	-18431	NA	NA	NA
"1"	117414768	117414768	1	"+"	TRUE	FALSE	TRUE	"Exon (ENST00000356554/ENSG00000198162, exon 4 of 13)"	1	117420597	117515939	95343	1	"ENSG00000198162"	"ENST00000449370"	-5829	"10905"	"MAN1A2"	"mannosidase alpha class 1A member 2"
"1"	120277528	120277649	122	"+"	TRUE	TRUE	TRUE	"Intron (ENST00000612320/ENSG00000274642, intron 3 of 5)"	1	120228046	120228295	250	2	"ENSG00000277313"	"ENST00000622040"	-49233	NA	NA	NA
"1"	147998598	147998599	2	"+"	FALSE	TRUE	TRUE	"Intron (ENST00000401008/ENSG00000215859, intron 6 of 8)"	1	147994301	148009592	15292	2	"ENSG00000215859"	"ENST00000425209"	10993	NA	NA	NA
"1"	161450674	161450674	1	"+"	TRUE	TRUE	TRUE	"Intron (ENST00000637155/ENSG00000283360, intron 1 of 4)"	1	161433444	161440996	7553	2	"ENSG00000283317"	"ENST00000636824"	-9678	NA	NA	NA
"1"	161531107	161531107	1	"+"	TRUE	TRUE	TRUE	"Intron (ENST00000537821/ENSG00000273112, intron 3 of 4)"	1	161524540	161526894	2355	1	"ENSG00000173110"	"ENST00000309758"	6567	"3310"	"HSPA6"	"heat shock protein family A (Hsp70) member 6"
"1"	161612712	161612713	2	"+"	TRUE	TRUE	TRUE	"Distal Intergenic"	1	161606291	161608217	1927	1	"ENSG00000225217"	"ENST00000445535"	6421	NA	NA	NA
"1"	161639968	161639971	4	"+"	TRUE	TRUE	TRUE	"Distal Intergenic"	1	161623196	161631963	8768	2	"ENSG00000162747"	"ENST00000367964"	-8005	"2215"	"FCGR3B"	"Fc fragment of IgG receptor IIIb"
"1"	167863579	167863579	1	"+"	TRUE	TRUE	FALSE	"Intron (ENST00000367851/ENSG00000143199, intron 14 of 32)"	1	167809646	167848489	38844	2	"ENSG00000143199"	"ENST00000485964"	-15090	"55811"	"ADCY10"	"adenylate cyclase 10"
"1"	174522538	174522538	1	"+"	FALSE	TRUE	TRUE	"Intron (ENST00000357444/ENSG00000152061, intron 13 of 13)"	1	174447964	174449545	1582	1	"ENSG00000203737"	"ENST00000367685"	74574	"9293"	"GPR52"	"G protein-coupled receptor 52"
"1"	176880123	176880123	1	"+"	TRUE	FALSE	TRUE	"Intron (ENST00000367657/ENSG00000152092, intron 20 of 22)"	1	176829128	176831841	2714	2	"ENSG00000286754"	"ENST00000662545"	-48282	NA	NA	NA
"1"	194859787	194859839	53	"+"	TRUE	TRUE	TRUE	"Intron (ENST00000648938/ENSG00000285718, intron 3 of 3)"	1	194890480	194931276	40797	2	"ENSG00000285718"	"ENST00000670710"	71437	NA	NA	NA
"1"	200675057	200675077	21	"+"	FALSE	TRUE	TRUE	"Intron (ENST00000568695/ENSG00000260088, intron 1 of 2)"	1	200644037	200669907	25871	2	"ENSG00000118197"	"ENST00000331314"	-5150	"83479"	"DDX59"	"DEAD-box helicase 59"
"1"	202077112	202077112	1	"+"	FALSE	TRUE	TRUE	"Distal Intergenic"	1	202070841	202070943	103	1	"ENSG00000212512"	"ENST00000391210"	6271	NA	NA	NA
"1"	204506521	204506521	1	"+"	TRUE	TRUE	TRUE	"Distal Intergenic"	1	204516379	204558119	41741	1	"ENSG00000198625"	"ENST00000367183"	-9858	"4194"	"MDM4"	"MDM4 regulator of p53"
"1"	214620868	214620868	1	"+"	TRUE	FALSE	TRUE	"Exon (ENST00000366955/ENSG00000117724, exon 6 of 20)"	1	214612960	214613398	439	2	"ENSG00000224584"	"ENST00000436983"	-7470	NA	NA	NA
"1"	244367128	244367128	1	"+"	TRUE	TRUE	TRUE	"Intron (ENST00000366537/ENSG00000173728, intron 2 of 4)"	1	244378512	244389663	11152	1	"ENSG00000173728"	"ENST00000470211"	-11384	"200159"	"C1orf100"	"chromosome 1 open reading frame 100"
"1"	21860	21860	1	"-"	TRUE	TRUE	FALSE	"Intron (ENST00000488147/ENSG00000227232, intron 2 of 10)"	1	17369	17436	68	2	"ENSG00000278267"	"ENST00000619216"	-4424	"102466751"	"MIR6859-1"	"microRNA 6859-1"
"1"	1642473	1642473	1	"-"	FALSE	TRUE	TRUE	"Exon (ENST00000341832/ENSG00000248333, exon 7 of 20)"	1	1634240	1635263	1024	1	"ENSG00000189409"	"ENST00000490017"	8233	"8510"	"MMP23B"	"matrix metallopeptidase 23B"
"1"	1655445	1655446	2	"-"	TRUE	TRUE	TRUE	"Exon (ENST00000341832/ENSG00000248333, exon 3 of 20)"	1	1641772	1658972	17201	2	"ENSG00000248333"	"ENST00000341028"	3527	"984"	"CDK11B"	"cyclin dependent kinase 11B"
"1"	6186763	6186814	52	"-"	TRUE	TRUE	TRUE	"Exon (ENST00000234875/ENSG00000116251, exon 4 of 4)"	1	6101787	6180321	78535	2	"ENSG00000116254"	"ENST00000262450"	-6493	"26038"	"CHD5"	"chromodomain helicase DNA binding protein 5"
"1"	6192953	6192985	33	"-"	TRUE	TRUE	TRUE	"Exon (ENST00000484532/ENSG00000285629, exon 2 of 5)"	1	6159430	6197757	38328	2	"ENSG00000285629"	"ENST00000484532"	4804	NA	NA	NA
"1"	6639972	6639973	2	"-"	FALSE	TRUE	TRUE	"Exon (ENST00000465508/ENSG00000007923, exon 3 of 7)"	1	6634168	6645057	10890	2	"ENSG00000007923"	"ENST00000465508"	5085	"55735"	"DNAJC11"	"DnaJ heat shock protein family (Hsp40) member C11"
"1"	8863317	8863317	1	"-"	TRUE	TRUE	TRUE	"3' UTR"	1	8866502	8866590	89	2	"ENSG00000274258"	"ENST00000618792"	3273	"102465436"	"MIR6728"	"microRNA 6728"
"1"	15834922	15834922	1	"-"	FALSE	TRUE	TRUE	"Exon (ENST00000317122/ENSG00000179743, exon 2 of 2)"	1	15828232	15828669	438	1	"ENSG00000178715"	"ENST00000321418"	6690	NA	NA	NA
"1"	16735472	16735472	1	"-"	TRUE	TRUE	TRUE	"Distal Intergenic"	1	16740273	16941434	201162	1	"ENSG00000058453"	"ENST00000466256"	-4801	"9696"	"CROCC"	"ciliary rootlet coiled-coil, rootletin"
"1"	18414998	18415004	7	"-"	TRUE	TRUE	TRUE	"Distal Intergenic"	1	18385829	18388514	2686	1	"ENSG00000225387"	"ENST00000420211"	29175	NA	NA	NA
"1"	19086206	19086206	1	"-"	FALSE	TRUE	TRUE	"Exon (ENST00000375254/ENSG00000127481, exon 101 of 106)"	1	19074510	19082240	7731	2	"ENSG00000127481"	"ENST00000375225"	-3966	"23352"	"UBR4"	"ubiquitin protein ligase E3 component n-recognin 4"
"1"	19864490	19864490	1	"-"	TRUE	TRUE	TRUE	"Distal Intergenic"	1	19882395	19912945	30551	1	"ENSG00000169914"	"ENST00000375120"	-17905	"23252"	"OTUD3"	"OTU deubiquitinase 3"
"1"	28346334	28346334	1	"-"	TRUE	TRUE	TRUE	"Distal Intergenic"	1	28330283	28334585	4303	1	"ENSG00000130772"	"ENST00000474683"	16051	"54797"	"MED18"	"mediator complex subunit 18"
"1"	31958631	31958631	1	"-"	FALSE	TRUE	TRUE	"Distal Intergenic"	1	31919130	31944856	25727	2	"ENSG00000184007"	"ENST00000526960"	-13775	"8073"	"PTP4A2"	"protein tyrosine phosphatase 4A2"
"1"	32775997	32775998	2	"-"	TRUE	TRUE	TRUE	"Exon (ENST00000469100/ENSG00000134684, exon 4 of 4)"	1	32775244	32780711	5468	2	"ENSG00000134684"	"ENST00000490826"	4714	"8565"	"YARS1"	"tyrosyl-tRNA synthetase 1"
"1"	37969725	37969725	1	"-"	FALSE	TRUE	TRUE	"Exon (ENST00000373019/ENSG00000183431, exon 13 of 17)"	1	37958063	37960693	2631	2	"ENSG00000183431"	"ENST00000487062"	-9032	"10946"	"SF3A3"	"splicing factor 3a subunit 3"
"1"	39093082	39093082	1	"-"	FALSE	TRUE	TRUE	"Intron (ENST00000484793/ENSG00000127603, intron 3 of 3)"	1	39084167	39486987	402821	1	"ENSG00000127603"	"ENST00000361689"	8915	"23499"	"MACF1"	"microtubule actin crosslinking factor 1"
"1"	39611085	39611085	1	"-"	TRUE	TRUE	TRUE	"Distal Intergenic"	1	39633416	39633903	488	1	"ENSG00000225903"	"ENST00000424418"	-22331	NA	NA	NA
"1"	47216617	47216618	2	"-"	TRUE	TRUE	TRUE	"3' UTR"	1	47218688	47224076	5389	2	"ENSG00000162367"	"ENST00000459729"	7459	"6886"	"TAL1"	"TAL bHLH transcription factor 1, erythroid differentiation factor"
"1"	48196343	48196348	6	"-"	TRUE	TRUE	TRUE	"Intron (ENST00000431986/ENSG00000223720, intron 1 of 4)"	1	48164710	48182428	17719	2	"ENSG00000242267"	"ENST00000453388"	-13920	NA	NA	NA
"1"	65481102	65481136	35	"-"	TRUE	TRUE	FALSE	"Intron (ENST00000371059/ENSG00000116678, intron 2 of 19)"	1	65486406	65494188	7783	1	"ENSG00000237852"	"ENST00000429871"	-5304	NA	NA	NA
"1"	65481146	65481146	1	"-"	TRUE	FALSE	TRUE	"Intron (ENST00000371059/ENSG00000116678, intron 2 of 19)"	1	65486406	65494188	7783	1	"ENSG00000237852"	"ENST00000429871"	-5260	NA	NA	NA
"1"	87826741	87826742	2	"-"	TRUE	TRUE	TRUE	"Intron (ENST00000642677/ENSG00000237505, intron 2 of 6)"	1	87805286	87808372	3087	2	"ENSG00000279778"	"ENST00000623157"	-18370	NA	NA	NA
"1"	91387418	91387434	17	"-"	TRUE	TRUE	TRUE	"Intron (ENST00000370425/ENSG00000162669, intron 4 of 38)"	1	91394173	91404735	10563	2	"ENSG00000162669"	"ENST00000455133"	17317	"164045"	"HFM1"	"helicase for meiosis 1"
"1"	92275883	92275883	1	"-"	FALSE	TRUE	TRUE	"Intron (ENST00000370360/ENSG00000174842, intron 7 of 18)"	1	92247062	92271652	24591	2	"ENSG00000174842"	"ENST00000495852"	-4231	"11146"	"GLMN"	"glomulin, FKBP associated protein"
"1"	101167488	101167488	1	"-"	TRUE	TRUE	TRUE	"Distal Intergenic"	1	101190520	101190994	475	1	"ENSG00000271578"	"ENST00000603646"	-23032	NA	NA	NA
"1"	102660708	102660708	1	"-"	TRUE	FALSE	TRUE	"Distal Intergenic"	1	102763322	102853842	90521	2	"ENSG00000230864"	"ENST00000414418"	193134	NA	NA	NA
"1"	120620786	120620846	61	"-"	TRUE	TRUE	TRUE	"Intron (ENST00000612480/ENSG00000275131, intron 3 of 41)"	1	120670127	120670376	250	1	"ENSG00000275933"	"ENST00000615477"	-49341	NA	NA	NA
"1"	121016920	121016923	4	"-"	FALSE	TRUE	TRUE	"Intron (ENST00000612313/ENSG00000275585, intron 2 of 2)"	1	121008362	121008507	146	2	"ENSG00000273516"	"ENST00000610293"	-8416	NA	NA	NA
"1"	143800119	143800119	1	"-"	TRUE	TRUE	TRUE	"Distal Intergenic"	1	143791542	143791687	146	2	"ENSG00000252105"	"ENST00000516296"	-8432	NA	NA	NA
"1"	144547719	144547720	2	"-"	TRUE	TRUE	TRUE	"Distal Intergenic"	1	144551779	144551943	165	2	"ENSG00000278099"	"ENST00000617626"	4224	"6063"	"RNVU1-2A"	"RNA, variant U1 small nuclear 2A"
"1"	146934406	146934406	1	"-"	TRUE	FALSE	TRUE	"Distal Intergenic"	1	146938744	146996202	57459	1	"ENSG00000268043"	"ENST00000617931"	-4338	"149013"	"NBPF12"	"NBPF member 12"
"1"	152032691	152032727	37	"-"	FALSE	TRUE	TRUE	"Exon (ENST00000271638/ENSG00000163191, exon 3 of 3)"	1	152032506	152037004	4499	2	"ENSG00000163191"	"ENST00000271638"	4313	"6282"	"S100A11"	"S100 calcium binding protein A11"
"1"	152032769	152032819	51	"-"	TRUE	TRUE	TRUE	"Exon (ENST00000271638/ENSG00000163191, exon 3 of 3)"	1	152032506	152037004	4499	2	"ENSG00000163191"	"ENST00000271638"	4235	"6282"	"S100A11"	"S100 calcium binding protein A11"
"1"	155834629	155834640	12	"-"	TRUE	TRUE	TRUE	"Intron (ENST00000368331/ENSG00000116580, intron 2 of 31)"	1	155845367	155846624	1258	1	"ENSG00000234937"	"ENST00000413921"	-10738	NA	NA	NA
"1"	155983386	155983413	28	"-"	TRUE	TRUE	TRUE	"Intron (ENST00000462460/ENSG00000116584, intron 4 of 25)"	1	155968809	155979113	10305	2	"ENSG00000116584"	"ENST00000465079"	-4300	"9181"	"ARHGEF2"	"Rho/Rac guanine nucleotide exchange factor 2"
"1"	156848397	156848397	1	"-"	TRUE	TRUE	TRUE	"Intron (ENST00000489021/ENSG00000198400, intron 2 of 2)"	1	156840063	156859117	19055	2	"ENSG00000027644"	"ENST00000368195"	10720	"3645"	"INSRR"	"insulin receptor related receptor"
"1"	159918275	159918276	2	"-"	FALSE	TRUE	TRUE	"3' UTR"	1	159918107	159923717	5611	2	"ENSG00000158710"	"ENST00000368096"	5442	"8407"	"TAGLN2"	"transgelin 2"
"1"	159920384	159920384	1	"-"	FALSE	TRUE	TRUE	"Exon (ENST00000368096/ENSG00000158710, exon 2 of 5)"	1	159918107	159923717	5611	2	"ENSG00000158710"	"ENST00000368096"	3333	"8407"	"TAGLN2"	"transgelin 2"
"1"	161454674	161454717	44	"-"	TRUE	TRUE	TRUE	"Intron (ENST00000637155/ENSG00000283360, intron 1 of 4)"	1	161433444	161440996	7553	2	"ENSG00000283317"	"ENST00000636824"	-13721	NA	NA	NA
"1"	161455042	161455042	1	"-"	TRUE	TRUE	TRUE	"Intron (ENST00000637155/ENSG00000283360, intron 1 of 4)"	1	161433444	161440996	7553	2	"ENSG00000283317"	"ENST00000636824"	-14046	NA	NA	NA
"1"	161530890	161530890	1	"-"	TRUE	TRUE	FALSE	"Intron (ENST00000537821/ENSG00000273112, intron 3 of 4)"	1	161524540	161526894	2355	1	"ENSG00000173110"	"ENST00000309758"	6350	"3310"	"HSPA6"	"heat shock protein family A (Hsp70) member 6"
"1"	167617821	167617826	6	"-"	TRUE	TRUE	TRUE	"Distal Intergenic"	1	167630093	167706248	76156	1	"ENSG00000198771"	"ENST00000537350"	-12272	"92241"	"RCSD1"	"RCSD domain containing 1"
"1"	168220612	168220613	2	"-"	TRUE	FALSE	TRUE	"Distal Intergenic"	1	168215405	168215652	248	1	"ENSG00000237131"	"ENST00000451806"	5208	NA	NA	NA
"1"	175101491	175101494	4	"-"	TRUE	TRUE	TRUE	"Intron (ENST00000239462/ENSG00000120332, intron 9 of 18)"	1	175077419	175147936	70518	1	"ENSG00000120332"	"ENST00000621086"	24075	"63923"	"TNN"	"tenascin N"
"1"	175107649	175107652	4	"-"	TRUE	TRUE	TRUE	"Intron (ENST00000239462/ENSG00000120332, intron 9 of 18)"	1	175077419	175147936	70518	1	"ENSG00000120332"	"ENST00000621086"	30233	"63923"	"TNN"	"tenascin N"
"1"	186332297	186332297	1	"-"	TRUE	TRUE	FALSE	"Exon (ENST00000367478/ENSG00000047410, exon 38 of 51)"	1	186325519	186326220	702	2	"ENSG00000047410"	"ENST00000492973"	-6077	"7175"	"TPR"	"translocated promoter region, nuclear basket protein"
"1"	194358027	194358028	2	"-"	TRUE	TRUE	TRUE	"Distal Intergenic"	1	194350943	194352426	1484	1	"ENSG00000231714"	"ENST00000435554"	7085	NA	NA	NA
"1"	194859079	194859089	11	"-"	TRUE	TRUE	TRUE	"Intron (ENST00000648938/ENSG00000285718, intron 3 of 3)"	1	194890480	194931276	40797	2	"ENSG00000285718"	"ENST00000670710"	72197	NA	NA	NA
"1"	196933698	196933713	16	"-"	TRUE	TRUE	TRUE	"Distal Intergenic"	1	196943738	196959622	15885	1	"ENSG00000080910"	"ENST00000367415"	-10040	"3080"	"CFHR2"	"complement factor H related 2"
"1"	198633746	198633746	1	"-"	TRUE	TRUE	TRUE	"Distal Intergenic"	1	198638457	198708157	69701	1	"ENSG00000081237"	"ENST00000367379"	-4711	"5788"	"PTPRC"	"protein tyrosine phosphatase receptor type C"
"1"	201578425	201578425	1	"-"	TRUE	TRUE	FALSE	"Intron (ENST00000648727/ENSG00000223396, intron 1 of 1)"	1	201622885	201623610	726	1	"ENSG00000134369"	"ENST00000593583"	-44460	"89796"	"NAV1"	"neuron navigator 1"
"1"	201578494	201578494	1	"-"	TRUE	FALSE	TRUE	"Intron (ENST00000648727/ENSG00000223396, intron 1 of 1)"	1	201622885	201623610	726	1	"ENSG00000134369"	"ENST00000593583"	-44391	"89796"	"NAV1"	"neuron navigator 1"
"1"	205727783	205727783	1	"-"	TRUE	TRUE	FALSE	"Exon (ENST00000367142/ENSG00000069275, exon 3 of 7)"	1	205731221	205731352	132	2	"ENSG00000201944"	"ENST00000365074"	3569	NA	NA	NA
"1"	207519733	207519748	16	"-"	TRUE	TRUE	TRUE	"Intron (ENST00000367050/ENSG00000203710, intron 4 of 12)"	1	207496341	207534995	38655	1	"ENSG00000203710"	"ENST00000434033"	23407	"1378"	"CR1"	"complement C3b/C4b receptor 1 (Knops blood group)"
"1"	223789073	223789101	29	"-"	TRUE	TRUE	TRUE	"3' UTR"	1	223796174	223800726	4553	2	"ENSG00000143514"	"ENST00000464656"	11653	"7159"	"TP53BP2"	"tumor protein p53 binding protein 2"
"1"	234869633	234869689	57	"-"	TRUE	TRUE	TRUE	"Intron (ENST00000651370/ENSG00000286263, intron 1 of 1)"	1	234837976	234838069	94	1	"ENSG00000201638"	"ENST00000364768"	31713	NA	NA	NA
"2"	26962160	26962160	1	"+"	TRUE	TRUE	TRUE	"Intron (ENST00000416226/ENSG00000230286, intron 1 of 1)"	2	26970637	27022619	51983	1	"ENSG00000084764"	"ENST00000494788"	-8477	"22924"	"MAPRE3"	"microtubule associated protein RP/EB family member 3"
"2"	27752847	27752892	46	"+"	TRUE	TRUE	TRUE	"Distal Intergenic"	2	27771717	27779734	8018	1	"ENSG00000243147"	"ENST00000379666"	-18825	"9553"	"MRPL33"	"mitochondrial ribosomal protein L33"
"2"	37098223	37098223	1	"+"	TRUE	FALSE	TRUE	"3' UTR"	2	37088364	37094324	5961	1	"ENSG00000152133"	"ENST00000473067"	9859	"253635"	"GPATCH11"	"G-patch domain containing 11"
"2"	62312865	62312865	1	"+"	TRUE	TRUE	TRUE	"Distal Intergenic"	2	62348948	62350739	1792	2	"ENSG00000270335"	"ENST00000603429"	37874	NA	NA	NA
"2"	65567507	65567508	2	"+"	TRUE	TRUE	FALSE	"Intron (ENST00000606978/ENSG00000204929, intron 4 of 9)"	2	65555432	65555534	103	2	"ENSG00000251900"	"ENST00000516091"	-11973	NA	NA	NA
"2"	68438897	68438897	1	"+"	TRUE	TRUE	TRUE	"Distal Intergenic"	2	68445710	68449174	3465	2	"ENSG00000229462"	"ENST00000444697"	10277	NA	NA	NA
"2"	88503990	88503990	1	"+"	TRUE	TRUE	TRUE	"Distal Intergenic"	2	88524649	88529585	4937	1	"ENSG00000172073"	"ENST00000303254"	-20659	"200523"	"TEX37"	"testis expressed 37"
"2"	99361358	99361388	31	"+"	FALSE	TRUE	TRUE	"Exon (ENST00000617677/ENSG00000158417, exon 4 of 25)"	2	99322111	99340702	18592	2	"ENSG00000115514"	"ENST00000409705"	-20656	"10190"	"TXNDC9"	"thioredoxin domain containing 9"
"2"	105097225	105097228	4	"+"	TRUE	TRUE	TRUE	"3' UTR"	2	105092098	105099900	7803	1	"ENSG00000135972"	"ENST00000472220"	5127	"64965"	"MRPS9"	"mitochondrial ribosomal protein S9"
"2"	139410925	139410960	36	"+"	TRUE	TRUE	TRUE	"Distal Intergenic"	2	139366165	139379147	12983	1	"ENSG00000226939"	"ENST00000429008"	44760	NA	NA	NA
"2"	139892397	139892398	2	"+"	TRUE	TRUE	TRUE	"Distal Intergenic"	2	139824896	139825877	982	2	"ENSG00000223554"	"ENST00000415918"	-66520	NA	NA	NA
"2"	142931185	142931185	1	"+"	FALSE	TRUE	TRUE	"Intron (ENST00000375773/ENSG00000115919, intron 4 of 11)"	2	142927659	142971393	43735	1	"ENSG00000115919"	"ENST00000613664"	3526	"8942"	"KYNU"	"kynureninase"
"2"	142935807	142935829	23	"+"	TRUE	TRUE	TRUE	"Intron (ENST00000375773/ENSG00000115919, intron 4 of 11)"	2	142927659	142971393	43735	1	"ENSG00000115919"	"ENST00000613664"	8148	"8942"	"KYNU"	"kynureninase"
"2"	190334703	190334703	1	"+"	FALSE	TRUE	TRUE	"Intron (ENST00000409934/ENSG00000198130, intron 1 of 7)"	2	190343570	190371665	28096	1	"ENSG00000151689"	"ENST00000322522"	-8867	"3628"	"INPP1"	"inositol polyphosphate-1-phosphatase"
"2"	239295026	239295027	2	"+"	TRUE	TRUE	TRUE	"Intron (ENST00000345617/ENSG00000068024, intron 2 of 26)"	2	239094890	239298530	203641	2	"ENSG00000068024"	"ENST00000535493"	3503	"9759"	"HDAC4"	"histone deacetylase 4"
"2"	242131842	242131845	4	"+"	TRUE	TRUE	TRUE	"Intron (ENST00000456398/ENSG00000220804, intron 6 of 7)"	2	242122293	242138888	16596	1	"ENSG00000220804"	"ENST00000433444"	9549	NA	NA	NA
"2"	910190	910243	54	"-"	TRUE	FALSE	TRUE	"Distal Intergenic"	2	899462	905539	6078	2	"ENSG00000228799"	"ENST00000445279"	-4704	NA	NA	NA
"2"	8750201	8750201	1	"-"	TRUE	TRUE	FALSE	"3' UTR"	2	8733609	8737289	3681	2	"ENSG00000134313"	"ENST00000471685"	-12912	"57498"	"KIDINS220"	"kinase D interacting substrate 220"
"2"	15554462	15554462	1	"-"	TRUE	TRUE	TRUE	"Intron (ENST00000281513/ENSG00000151779, intron 3 of 51)"	2	15166916	15561334	394419	2	"ENSG00000151779"	"ENST00000281513"	6872	"51594"	"NBAS"	"NBAS subunit of NRZ tethering complex"
"2"	27384755	27384804	50	"-"	TRUE	TRUE	TRUE	"Exon (ENST00000472077/ENSG00000115241, exon 3 of 8)"	2	27378731	27380790	2060	2	"ENSG00000163795"	"ENST00000436006"	-4014	"130557"	"ZNF513"	"zinc finger protein 513"
"2"	27384936	27384955	20	"-"	TRUE	TRUE	TRUE	"Exon (ENST00000344034/ENSG00000115241, exon 5 of 10)"	2	27378731	27380790	2060	2	"ENSG00000163795"	"ENST00000436006"	-4165	"130557"	"ZNF513"	"zinc finger protein 513"
"2"	51779841	51779844	4	"-"	TRUE	TRUE	TRUE	"Intron (ENST00000440698/ENSG00000231918, intron 6 of 10)"	2	51775258	51775402	145	2	"ENSG00000223710"	"ENST00000443337"	-4442	NA	NA	NA
"2"	65819258	65819275	18	"-"	TRUE	TRUE	TRUE	"Intron (ENST00000606978/ENSG00000204929, intron 6 of 9)"	2	65790039	65793533	3495	1	"ENSG00000280257"	"ENST00000623818"	29236	NA	NA	NA
"2"	68558887	68558887	1	"-"	TRUE	TRUE	FALSE	"Intron (ENST00000529851/ENSG00000169621, intron 7 of 8)"	2	68586854	68655862	69009	1	"ENSG00000169621"	"ENST00000627740"	-27967	"200558"	"APLF"	"aprataxin and PNKP like factor"
