seqnames	start	end	width	strand	log2FC	logCPM	F	PValue	FDR	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
II	145758	145818	61	-	-4.85345055112981	6.45327433084331	106.005846388206	4.33276014613233e-07	5.65233535417692e-06	Promoter	2	143989	145728	1740	2	YBL039C	YBL039C_mRNA	-90
II	159691	159724	34	-	1.09647672489415	8.30321116521951	53.4427329105876	1.29899715891927e-05	7.83261483928274e-05	Promoter	2	158656	159693	1038	2	YBL033C	YBL033C_mRNA	0
II	160074	160147	74	+	-1.22140704641877	8.1168403412162	52.332168132276	1.43478094474781e-05	8.46259888138529e-05	Promoter	2	160184	161329	1146	1	YBL032W	YBL032W_mRNA	-37
II	161661	161724	64	+	-1.13105349755515	6.13149835004836	13.752960325269	0.00329071109054567	0.00765420658059045	Promoter	2	161699	162715	1017	1	YBL031W	YBL031W_mRNA	0
II	167850	167899	50	-	-1.11831688628024	7.67343076421836	28.2524142666121	0.000223925326335703	0.000789133060924655	Promoter	2	167518	167838	321	2	YBL028C	YBL028C_mRNA	-61
II	168364	168418	55	+	-2.55337310932876	10.021964464901	244.726461814587	5.11105518920014e-09	2.29130773904372e-07	Promoter	2	168423	169376	954	1	YBL027W	YBL027W_mRNA	-5
II	171399	171483	85	+	1.35473415664566	6.10175293672897	13.3658764827105	0.00361183890932864	0.00829019251546846	Promoter	2	171481	171918	438	1	YBL025W	YBL025W_mRNA	0
II	172472	172530	59	+	-2.38070428975264	6.73190657596056	78.6619155299959	1.97196834358523e-06	1.77696258516402e-05	Promoter	2	172534	174588	2055	1	YBL024W	YBL024W_mRNA	-4
II	194016	194083	68	+	2.56198498740089	7.56003065817618	138.422646121872	1.07897977688669e-07	1.94456133123356e-06	Promoter	2	194122	195702	1581	1	YBL015W	YBL015W_mRNA	-39
II	201742	201792	51	-	-1.42545380980509	5.3341361608326	12.2338063560217	0.00478749266379629	0.0105454749861901	Promoter	2	199064	201748	2685	2	YBL014C	YBL014C_mRNA	0
II	217380	217430	51	+	-1.93741345107484	5.61551745540377	11.0967435824209	0.00645291145153873	0.0136402550491692	Promoter	2	217470	220400	2931	1	YBL005W	YBL005W_mRNA	-40
II	227499	227586	88	+	-1.57547220142907	7.15530659223397	29.0607272115019	0.000199065524584608	0.000715400917746458	Promoter	2	227636	235117	7482	1	YBL004W	YBL004W_mRNA	-50
II	235786	235856	71	-	-2.47532849921118	8.55018356383094	207.026534175718	1.26306415417349e-08	4.29795117077498e-07	Promoter	2	235394	235792	399	2	YBL003C	YBL003C_mRNA	0
II	236356	236518	163	+	-2.12169786536016	8.50339387931063	156.317515384232	5.67529525983516e-08	1.1751483716748e-06	Promoter	2	236492	236887	396	1	YBL002W	YBL002W_mRNA	0
II	237404	237579	176	-	1.26304536605503	9.22695644958971	66.6899399099874	4.46515924952501e-06	3.3843403283783e-05	Promoter	2	237153	237467	315	2	YBL001C	YBL001C_mRNA	0
II	241396	241447	52	-	1.70836302119931	6.30466013457476	31.5318335059145	0.000140956518034941	0.000531787383203739	Promoter	2	238941	241283	2343	2	YBR001C	YBR001C_mRNA	-164
II	245813	245883	71	+	1.22106503230448	6.70503029522983	14.4333641462373	0.0028043383713384	0.00669573626836736	Promoter	2	245906	246547	642	1	YBR005W	YBR005W_mRNA	-23
II	250947	251014	68	-	-1.69868310397563	5.76811769900552	13.4288011646081	0.0035571949792044	0.0081724791165291	Promoter	2	248806	251016	2211	2	YBR007C	YBR007C_mRNA	69
II	255706	255782	77	-	-1.27024867382422	8.86358137817443	62.7073858582724	6.02950752139982e-06	4.35305394645868e-05	Promoter	2	255373	255684	312	2	YBR009C	YBR009C_mRNA	-98
II	256303	256324	22	+	-1.03466289651148	7.37256457406958	25.6879803439831	0.000330924140476029	0.00109498913753813	Promoter	2	256331	256741	411	1	YBR010W	YBR010W_mRNA	-7
II	293968	294087	120	-	2.20314461808154	7.44854596955271	52.3459419182003	1.43299741738056e-05	8.46233669050219e-05	Promoter	2	292877	294019	1143	2	YBR026C	YBR026C_mRNA	0
II	300142	300160	19	+	-1.94481348603457	7.88174254978965	86.2865712776166	1.23871533742862e-06	1.25574767331826e-05	Promoter	2	300166	301254	1089	1	YBR031W	YBR031W_mRNA	-6
II	305986	306005	20	-	-1.28430507375942	5.62069775847143	8.56281353945212	0.0134116010006897	0.0254230036888804	Promoter	2	304930	305976	1047	2	YBR034C	YBR034C_mRNA	-29
II	311461	311512	52	-	1.83864236550017	7.72680625818107	60.544678500235	7.14722074422593e-06	4.96125194599192e-05	Promoter	2	310565	311452	888	2	YBR037C	YBR037C_mRNA	-60
II	311777	311888	112	+	-1.33090513956611	7.57213072657891	31.1534266354592	0.000148406376351397	0.000555069506015293	Promoter	2	311898	314789	2892	1	YBR038W	YBR038W_mRNA	-10
II	315481	315552	72	+	1.43772907440674	9.43448340959121	82.9201325815123	1.51386217861414e-06	1.43876042209695e-05	Promoter	2	315575	316510	936	1	YBR039W	YBR039W_mRNA	-23
II	331504	331595	92	-	1.00884050604194	8.19215519862511	20.5138338793316	0.000799590443461256	0.00229546141467992	Promoter	2	330507	331511	1005	2	YBR046C	YBR046C_mRNA	0
II	332733	332900	168	+	-2.4437284807567	10.953740560469	123.979529766866	1.92259945386382e-07	2.94193991902558e-06	Promoter	2	332831	333812	982	1	YBR048W	YBR048W_mRNA	0
II	336902	336967	66	-	1.02017743187492	6.50593432597348	11.3463090277496	0.00603507509535135	0.0128857724501885	Promoter	2	334386	336818	2433	2	YBR049C	YBR049C_mRNA	-149
II	338121	338332	212	-	3.82078990090641	8.13983696570275	288.319417466342	2.09355915435135e-09	1.41330382863575e-07	Promoter	2	337183	338199	1017	2	YBR050C	YBR050C_mRNA	0
II	340736	340782	47	-	1.12522906837422	8.0708741101545	48.2925407343464	2.09211992301577e-05	0.000113492258031156	Promoter	2	339675	340751	1077	2	YBR053C	YBR053C_mRNA	0
II	347767	347885	119	+	1.11358991322443	7.10412626082373	24.1346901239263	0.00042514174194155	0.00135035229522688	Promoter	2	347879	349384	1506	1	YBR056W	YBR056W_mRNA	0
II	365713	365754	42	-	-1.09991465049842	6.47062535328779	16.6339984002141	0.00172213954104303	0.00440816991410595	Promoter	2	364787	365719	933	2	YBR061C	YBR061C_mRNA	0
II	366578	366629	52	-	1.51157976947911	7.26472167731356	52.8312986308158	1.37178442978272e-05	8.14036955527161e-05	Promoter	2	365976	366600	625	2	YBR062C	YBR062C_mRNA	0
II	36702	36830	129	+	1.36661359471501	9.17936989973656	91.2312554431472	9.34053434264355e-07	1.0145321453416e-05	Promoter	2	37053	38690	1638	1	YBL099W	YBL099W_mRNA	-223
II	372351	372865	515	-	1.55715368685913	11.0972922080235	63.6879339286124	5.5913348502302e-06	4.08520050769071e-05	Promoter	2	372103	372735	633	2	YBR067C	YBR067C_mRNA	0
II	380201	380381	181	+	1.9440183073924	8.61250145623937	64.0168197357822	5.45283840278783e-06	3.99000175458129e-05	Promoter	2	380411	381046	636	1	YBR071W	YBR071W_mRNA	-30
II	380434	380469	36	+	2.17883431540815	6.19891207172638	35.7122538357623	8.21724577759954e-05	0.000339144342271411	Promoter	2	380411	381046	636	1	YBR071W	YBR071W_mRNA	23
II	381883	382395	513	+	4.52944727033781	10.6139204263031	512.196371529418	8.84069078514006e-11	3.50134818487748e-08	Promoter	2	382030	382674	645	1	YBR072W	YBR072W_mRNA	0
II	398294	398312	19	-	-1.31693586003981	6.66108445396487	28.251340687096	0.000223960698137474	0.000789133060924655	Promoter	2	395383	398277	2895	2	YBR079C	YBR079C_mRNA	-35
II	40765	40789	25	+	-1.05623808562945	5.66320516452535	7.01332637689187	0.022178092660409	0.0392026563734484	Promoter	2	40831	43095	2265	1	YBL097W	YBL097W_mRNA	-42
II	410971	411040	70	+	-2.85631920230151	6.43364827268456	51.2071726515834	1.589694055683e-05	9.15438020704551e-05	Promoter	2	411054	413981	2928	1	YBR084W	YBR084W_mRNA	-14
II	415255	415343	89	-	-2.31077910954386	9.99632593169627	236.112294325915	6.20743121602401e-09	2.58165472625409e-07	Promoter	2	414186	415261	1076	2	YBR084C-A	YBR084C-A_mRNA	0
II	419142	419255	114	-	1.34836736826989	8.90439355711432	88.5394396085673	1.08730924760132e-06	1.13537484953391e-05	Promoter	2	418907	419164	258	2	YBR085C-A	YBR085C-A_mRNA	0
II	429115	429132	18	-	-7.46296919449697	5.06943386188625	74.5810389079866	9.54707206421951e-06	6.24409310006614e-05	Promoter	2	427698	429101	1404	2	YBR092C	YBR092C_mRNA	-31
II	447539	447603	65	+	1.9038433726751	6.5444799604588	46.2429641045543	2.55904723520561e-05	0.000133179934187278	Promoter	2	447709	449316	1608	1	YBR103W	YBR103W_mRNA	-106
II	449575	449607	33	+	-4.15580389432824	4.8439963808278	29.5685121171483	0.00018510997308707	0.000672197857493795	Promoter	2	449667	450656	990	1	YBR104W	YBR104W_mRNA	-60
II	451985	452114	130	-	-2.14816549997349	8.1255996456315	160.553242682389	4.92419877765179e-08	1.05562866380044e-06	Promoter	2	450881	451969	1089	2	YBR105C	YBR105C_mRNA	-145
II	467290	467411	122	+	1.28061262342335	6.21354667666935	9.44683697078813	0.0102713110684284	0.0203673703783632	Promoter	2	467248	469620	2373	1	YBR114W	YBR114W_mRNA	42
II	473945	474043	99	-	-2.15153654668006	7.08017992628745	98.3606579731234	6.36397823659328e-07	7.38859159140642e-06	Promoter	2	469748	473926	4179	2	YBR115C	YBR115C_mRNA	-117
II	476458	476503	46	-	9.88372829226434	7.57535867133851	420.671022482809	4.53392893744713e-09	2.18436615936809e-07	Promoter	2	474392	476437	2046	2	YBR117C	YBR117C_mRNA	-66
II	479268	479338	71	+	-1.94562938683717	6.25718755018432	38.7425586911236	5.72635224235764e-05	0.000253543494188465	Promoter	2	479338	480323	986	1	YBR119W	YBR119W_mRNA	0
II	483361	483572	212	-	-1.61726719156371	9.74442048305853	87.0101712369757	1.18752699220175e-06	1.21909416541218e-05	Promoter	2	481364	483367	2004	2	YBR121C	YBR121C_mRNA	0
II	486702	486773	72	-	1.08757949743384	6.18388602980395	9.30529644164049	0.0107099721035918	0.0211161767650233	Promoter	2	484742	486691	1950	2	YBR123C	YBR123C_mRNA	-82
II	501580	501629	50	-	2.75428462517123	6.19456474978333	42.6233116631465	3.72104439409242e-05	0.0001782145868273	Promoter	2	499652	501442	1791	2	YBR132C	YBR132C_mRNA	-187
II	512937	513031	95	+	2.36247699515517	6.89728166516042	71.0036098254545	3.2806260608993e-06	2.71027613112665e-05	Promoter	2	513044	513583	540	1	YBR137W	YBR137W_mRNA	-13
II	528234	528285	52	+	-1.0997305028245	6.73983523678619	16.9765170214938	0.0016022378579175	0.00414706883863114	Promoter	2	528317	530638	2322	1	YBR142W	YBR142W_mRNA	-32
II	533706	533721	16	+	-1.32714257299987	5.56003854118807	8.01481498551586	0.0159350076229277	0.0296066208955639	Promoter	2	533762	534817	1056	1	YBR145W	YBR145W_mRNA	-41
II	549674	549742	69	+	-1.63472641905847	6.12808111424731	26.8883179708084	0.000274700093817561	0.000941346446088855	Promoter	2	549771	550928	1158	1	YBR155W	YBR155W_mRNA	-29
II	554310	554398	89	-	2.12481445832633	7.71825898049222	111.981723325937	3.26383458732509e-07	4.46118514098985e-06	Promoter	2	553543	554310	768	2	YBR157C	YBR157C_mRNA	0
II	564985	565016	32	+	-1.88188930356494	5.35327860648099	8.02240325924646	0.0158963907203011	0.0295574464061846	Promoter	2	565231	565428	198	1	YBR162W-A	YBR162W-A_mRNA	-215
II	565604	565644	41	+	-1.70134490145234	5.91423793560757	17.1843124093849	0.00153430021971643	0.00399246249686638	Promoter	2	565723	567480	1758	1	YBR163W	YBR163W_mRNA	-79
II	565728	565733	6	+	-2.35668469839226	4.60532098896659	13.7185219103691	0.00331787345456175	0.00771369910649665	Promoter	2	565723	567480	1758	1	YBR163W	YBR163W_mRNA	5
II	571220	571246	27	-	-1.13578379276786	6.92880379468141	26.6420296678265	0.000285255606189342	0.000972227952946009	Promoter	2	569842	571200	1359	2	YBR166C	YBR166C_mRNA	-46
II	576011	576112	102	-	1.6802266585196	8.34272398771305	80.8763153014949	1.71602564230725e-06	1.59051062389849e-05	Promoter	2	573915	575996	2082	2	YBR169C	YBR169C_mRNA	-116
II	578056	578159	104	-	1.02213229281992	7.5457722834626	22.5157127603707	0.000558955981993215	0.00170632359371329	Promoter	2	576344	578086	1743	2	YBR170C	YBR170C_mRNA	0
II	592766	592839	74	-	-3.31400905505947	9.57717221429941	507.007710414661	9.3541977812181e-11	3.50134818487748e-08	Promoter	2	591712	592774	1063	2	YBR181C	YBR181C_mRNA	0
II	59548	59608	61	-	1.04793240102515	6.33095045043801	13.1559270420042	0.00380148109680237	0.00866417190493693	Promoter	2	51019	59382	8364	2	YBL088C	YBL088C_mRNA	-226
II	602505	602554	50	+	-4.34639210092703	5.29647350033486	39.6943370891563	5.13594170450644e-05	0.000232730140171903	Promoter	2	602634	603476	843	1	YBR187W	YBR187W_mRNA	-80
II	604454	604537	84	+	-3.18725534807035	9.69136171342971	405.526854540812	3.21737861796962e-10	6.80685406740877e-08	Promoter	2	604508	605508	1001	1	YBR189W	YBR189W_mRNA	0
II	606191	606276	86	+	-2.66599014145106	9.0506536139047	256.754325781493	3.93831710256165e-09	1.95549500214949e-07	Promoter	2	606270	607140	871	1	YBR191W	YBR191W_mRNA	0
II	60757	60845	89	-	-3.13959435416642	7.01787534744124	107.264397458688	4.07694844216337e-07	5.37626859608861e-06	Promoter	2	59822	60739	918	2	YBL087C	YBL087C_mRNA	-106
II	615848	615896	49	-	-1.0030260528179	6.4846568838591	12.2522825917556	0.00476495926048714	0.0105010379354757	Promoter	2	615203	615856	654	2	YBR197C	YBR197C_mRNA	0
II	620809	620841	33	+	1.99258397563779	6.36398940237913	27.910349663337	0.000235536317380704	0.000823361868085134	Promoter	2	620872	622527	1656	1	YBR200W	YBR200W_mRNA	-31
II	623422	623477	56	+	1.28764423876589	7.77320679960759	33.3520470226744	0.000110730612613094	0.000432783261827564	Promoter	2	623576	624211	636	1	YBR201W	YBR201W_mRNA	-99
II	628934	628989	56	+	1.3292782238689	6.13187342593041	14.8819301227611	0.00252999471971755	0.0061279015958913	Promoter	2	629168	631942	2775	1	YBR203W	YBR203W_mRNA	-179
II	633406	633457	52	-	2.60378091344774	6.15332898287286	58.4053799831682	8.5005814439116e-06	5.64737782354305e-05	Promoter	2	632254	633381	1128	2	YBR204C	YBR204C_mRNA	-76
II	670440	670514	75	+	1.76064927022421	6.13461029996019	20.3667443902652	0.00082166702751568	0.00235467123432939	Promoter	2	670627	673329	2703	1	YBR225W	YBR225W_mRNA	-113
II	680011	680116	106	-	1.21874673076761	10.4371950020637	21.9386566101105	0.000618279377941946	0.00185253146941463	Promoter	2	679549	680050	502	2	YBR230C	YBR230C_mRNA	0
II	683099	683170	72	-	1.88401029702916	7.56410986121429	59.152001446675	7.99652327072629e-06	5.44973140551178e-05	Promoter	2	682179	683090	912	2	YBR231C	YBR231C_mRNA	-80
II	697286	697402	117	-	-4.31310951979179	7.8270210071558	250.25713618449	4.52699924258138e-09	2.18436615936809e-07	Promoter	2	695107	697302	2196	2	YBR238C	YBR238C_mRNA	0
II	704070	704095	26	-	3.24761320731722	6.11636183447456	39.106113149618	5.4918521074111e-05	0.000245168370226261	Promoter	2	702589	704055	1467	2	YBR241C	YBR241C_mRNA	-40
II	714449	714537	89	-	-1.16132928918552	8.90928647504984	56.8718831758556	9.65812985838129e-06	6.29979355105675e-05	Promoter	2	713004	714455	1452	2	YBR247C	YBR247C_mRNA	0
II	716510	716561	52	-	-2.81927776978952	6.17381767368895	29.8918963404995	0.000176822565899703	0.000644960010778175	Promoter	2	714807	716465	1659	2	YBR248C	YBR248C_mRNA	-96
II	718015	718130	116	-	-3.13908868999055	7.53639999169324	132.145616009331	1.37693111346685e-07	2.29457082127729e-06	Promoter	2	716882	717994	1113	2	YBR249C	YBR249C_mRNA	-136
II	722559	722605	47	+	-1.92500521439992	7.15095248881872	96.274501742172	7.10119274163913e-07	8.08699851854333e-06	Promoter	2	722611	723054	444	1	YBR252W	YBR252W_mRNA	-6
II	727044	727124	81	-	1.57695520421557	7.75353634814762	88.9236756060045	1.06371570528102e-06	1.11552599609859e-05	Promoter	2	726618	727074	457	2	YBR255C-A	YBR255C-A_mRNA	0
II	736023	736099	77	-	1.00513102070905	8.90045376468941	27.7897727174505	0.000239797276996957	0.000835006648670269	Promoter	2	735720	736040	321	2	YBR262C	YBR262C_mRNA	0
II	742510	742607	98	-	1.23714985065194	9.21628152841777	36.8650473427197	7.14276261961829e-05	0.000300632100494356	Promoter	2	742160	742576	417	2	YBR269C	YBR269C_mRNA	0
II	764664	764742	79	-	1.80673409389631	6.12432932214262	19.5337024423579	0.0009611676051379	0.00269104808204892	Promoter	2	762784	764697	1914	2	YBR280C	YBR280C_mRNA	0
II	773771	773846	76	+	4.34147070755942	5.72047869335725	35.3159640004357	8.62984057149762e-05	0.000353474783004271	Promoter	2	773922	774356	435	1	YBR285W	YBR285W_mRNA	-76
II	776499	776548	50	+	1.05770075168074	6.91250616324035	18.6822722854608	0.00113356763110161	0.00307809156972122	Promoter	2	776571	777854	1284	1	YBR287W	YBR287W_mRNA	-23
II	779504	779521	18	-	-1.28726021192941	6.41511349541176	21.1238037904959	0.000715194601994398	0.002101531964556	Promoter	2	778012	779463	1452	2	YBR288C	YBR288C_mRNA	-58
II	789093	789181	89	+	9.62630688190152	7.32133494190924	101.881888579442	2.53828444742082e-06	2.17420024905385e-05	Promoter	2	789235	791814	2580	1	YBR294W	YBR294W_mRNA	-54
II	798551	798605	55	-	3.98164793518687	7.91267958024394	242.791270331504	5.33605915921542e-09	2.33921296114795e-07	Promoter	2	796798	798522	1725	2	YBR296C	YBR296C_mRNA	-83
II	80687	80803	117	-	2.09383291155825	9.20551039203744	180.9188370077	2.60472117003299e-08	6.85112065588136e-07	Promoter	2	80378	80731	354	2	YBL078C	YBL078C_mRNA	0
II	84269	84307	39	-	-2.28563194969066	6.47687389155469	56.7067114986555	9.79355542462204e-06	6.34708601786421e-05	Promoter	2	81043	84261	3219	2	YBL076C	YBL076C_mRNA	-46
II	86456	86491	36	-	10.3919739503778	8.05082191828499	504.478552827501	1.97487902567469e-09	1.39430507267659e-07	Promoter	2	84499	86448	1950	2	YBL075C	YBL075C_mRNA	-43
II	90685	90712	28	+	-3.73923051127246	5.65864171491787	42.880646726519	3.62028387782269e-05	0.000174074124006771	Promoter	2	90741	92030	1290	1	YBL069W	YBL069W_mRNA	-29
II	92339	92396	58	+	-1.44950809009707	5.8640344407912	14.761757426316	0.00260025552433147	0.00627621199474055	Promoter	2	92414	93394	981	1	YBL068W	YBL068W_mRNA	-18
III	103344	103402	59	-	-1.01217875614428	7.91695795471143	38.7203109388308	5.74108139157633e-05	0.000253964564103731	Promoter	3	102075	103358	1284	2	YCL011C	YCL011C_mRNA	0
III	104362	104394	33	-	1.20940330204238	6.04826769385832	14.5875918196997	0.00270622069164529	0.00648693097810148	Promoter	3	103571	104350	780	2	YCL010C	YCL010C_mRNA	-44
III	105520	105598	79	-	-1.31568753610006	8.51544217719447	53.5179402852841	1.29036193456801e-05	7.79987723429556e-05	Promoter	3	104619	105548	930	2	YCL009C	YCL009C_mRNA	0
III	106807	106919	113	-	-1.23410058787409	8.37723669955136	39.9973370860837	4.96323687532139e-05	0.000226770991880882	Promoter	3	105696	106853	1158	2	YCL008C	YCL008C_mRNA	0
III	120478	120527	50	-	2.07823627429798	7.91046393039179	78.8875460986873	1.94392575653922e-06	1.76213005643798e-05	Promoter	3	119575	120318	744	2	YCR004C	YCR004C_mRNA	-209
III	122338	122401	64	-	2.36307114476315	7.85767535167064	171.520088790996	3.4637399792436e-08	8.24065453139247e-07	Promoter	3	120946	122328	1383	2	YCR005C	YCR005C_mRNA	-73
III	133173	133280	108	-	6.26535405118914	9.61788819434362	529.799321069388	7.32952793513378e-11	3.48983299886226e-08	Promoter	3	132273	133124	852	2	YCR010C	YCR010C_mRNA	-156
III	143573	143626	54	+	-2.90439173440023	6.61246096659348	33.1177291749335	0.000114159300149057	0.000443335318854996	Promoter	3	143634	144506	873	1	YCR016W	YCR016W_mRNA	-8
III	155227	155310	84	+	1.23581945017884	5.92009818774677	11.7773357179754	0.00538643256324112	0.0116698044758376	Promoter	3	155320	155556	237	1	YCR020W-B	YCR020W-B_mRNA	-10
III	166389	166425	37	-	1.32861282870435	6.82440339273169	35.6394602207776	8.2912622007445e-05	0.000341619660193249	Promoter	3	164111	166339	2229	2	YCR026C	YCR026C_mRNA	-86
III	16878	16944	67	-	1.0600198992189	9.09565611070534	51.6139241396681	1.53151261461896e-05	8.91428275446873e-05	Promoter	3	15798	16880	1083	2	YCL064C	YCL064C_mRNA	0
III	17226	17317	92	+	-1.13075667945113	7.0000626135016	29.6835326741385	0.000182110935028408	0.000662791181636675	Promoter	3	17290	18561	1272	1	YCL063W	YCL063W_mRNA	0
III	178220	178270	51	-	-2.31673061796563	8.95535363359718	267.85618695733	3.12795561042418e-09	1.76335945251516e-07	Promoter	3	177500	178220	721	2	YCR031C	YCR031C_mRNA	0
III	190536	190566	31	+	-2.33445462791434	5.33587813613401	21.0152001460312	0.000729421963536927	0.00213303321789104	Promoter	3	190592	191635	1044	1	YCR034W	YCR034W_mRNA	-26
